Epoch	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
37	-165.55797	15.93311	-134.99396	-192.7362	1900	-1.1086464e-07	945.90686	0.022375084	-790.24915	2.7940133	0.039555024	0.66	2.0	1176.6172547340393
38	-159.00766	21.835743	-125.006996	-211.00983	1950	1.3113022e-08	203.06476	-0.0069675576	-87.21254	2.6627676	0.0587689	0.62	2.0	1206.9853670597076
39	-177.29631	36.106636	-125.99992	-258.2153	2000	4.7683717e-08	621.9659	0.0019017886	-566.51117	2.8889303	0.14365402	0.76	2.0	1236.9169716835022
40	-189.68103	19.858686	-155.87646	-238.04744	2050	4.7683715e-09	156.8021	-0.005524491	-78.033646	2.8225205	0.045857344	0.5	1.0	1267.7735080718994
41	-193.0684	30.925632	-140.29216	-260.71146	2100	-1.4305114e-08	109.891205	0.0033222437	5125.017	2.7727268	0.049404386	0.3	5.0	1299.0926339626312
42	-261.0666	27.062622	-177.5132	-321.32376	2150	6.139278e-08	424.49164	0.0038558953	-120.87686	3.132649	0.04497464	0.46	2.0	1327.7163472175598
43	-260.38376	35.645386	-201.32837	-334.1753	2200	1.66893e-08	184.85077	-0.006397718	-26.64647	2.741273	0.03211149	0.2	2.0	1356.7696974277496
44	-270.42126	40.045677	-210.14908	-343.9428	2250	7.152557e-09	322.0199	-0.04766858	-45.86142	2.854329	-0.013976009	0.34	79.0	1411.2346811294556
45	-258.79727	32.255997	-207.90575	-327.9368	2300	0.0	253.5005	-0.015199895	-99.84042	2.6730366	0.04105186	0.56	2.0	1439.2141489982605
46	-279.29892	47.663994	-208.35382	-373.8944	2350	0.0	318.3112	-0.010357053	-185.94527	2.639414	0.058438797	0.32	2.0	1467.4508571624756
47	-279.40375	33.773914	-221.19595	-346.72232	2400	-7.152557e-09	174.76794	0.00014183999	-11.612839	2.8274713	0.024318216	0.26	10.0	1498.361495256424
48	-307.91348	58.630615	-217.33485	-406.22614	2450	3.8146972e-08	290.99866	-0.009857974	-198.5141	2.607377	0.037583373	0.32	2.0	1526.4236197471619
49	-302.56024	43.073242	-236.23907	-387.7037	2500	-6.198883e-08	4671.303	-0.0046029403	-4301.483	2.5483077	0.08089371	0.4	2.0	1554.5801193714142
50	-210.92621	13.213684	-175.69653	-244.99069	2550	-5.2452087e-08	613.1372	0.002579522	-392.94714	2.494132	0.02548757	0.26	2.0	1582.9690606594086
51	-185.90686	23.028797	-151.02524	-242.44797	2600	1.1920929e-08	100.25538	-0.014395218	-12.389175	2.7962134	0.01945115	0.42	3.0	1611.9278106689453
52	-188.1314	29.055357	-144.92192	-246.67401	2650	-6.198883e-08	130.49777	-0.031478953	-97.78749	3.0287936	0.06782803	0.5	1.0	1640.0081896781921
53	-193.4128	23.83195	-152.41765	-250.63377	2700	-4.7683715e-09	89.27982	0.014338927	0.30926514	3.0952923	0.012408602	0.48	2.0	1668.1063024997711
54	-191.7702	24.752512	-146.35884	-254.7799	2750	5.4836274e-08	230.45851	-0.056747302	-150.21744	2.9840035	-0.07486145	0.28	79.0	1722.0693008899689
55	-201.02574	27.68238	-154.46832	-264.9612	2800	-7.152557e-09	308.36594	-0.0005340433	-186.8999	2.822679	0.09662346	0.58	1.0	1749.4243471622467
56	-220.08553	32.98805	-167.16254	-289.3656	2850	4.7683717e-08	291.16428	-0.01269759	-131.18057	2.738112	0.009017966	0.2	5.0	1778.020302772522
57	-227.9885	29.688787	-184.61269	-299.60873	2900	-7.152557e-09	235.80727	0.0031447436	-138.83096	2.5065355	0.014985635	0.44	2.0	1805.6431367397308
58	-237.13513	36.81479	-181.94818	-314.79382	2950	-1.4305114e-08	256.81567	-0.022632547	-116.92473	3.0506344	0.0752321	0.42	1.0	1833.0010282993317
59	-255.00604	33.682976	-196.63837	-330.24255	3000	8.34465e-09	121.88572	0.0027859616	78.43577	2.6043177	0.026551927	0.26	2.0	1860.4145283699036
60	-252.95544	39.170723	-189.99597	-339.8957	3050	1.9073486e-08	379.43643	-0.055877183	-15.2344055	3.002166	0.11126606	0.64	1.0	1887.7795469760895
61	-268.60883	36.17248	-201.2661	-340.99442	3100	-1.2218952e-08	171.54764	-0.013554613	-2.5986023	2.5204935	0.14998052	0.54	1.0	1915.4638557434082
62	-269.8747	36.684284	-214.2302	-342.3933	3150	8.046627e-09	167.29239	0.015797239	-4.4664154	2.84215	0.033265714	0.26	1.0	1942.9488878250122
63	-269.16357	35.821274	-211.57466	-348.6998	3200	8.34465e-09	133.22125	-0.024738738	39673.168	2.5596368	0.056853037	0.48	2.0	1970.4450178146362
64	-459.61072	57.47787	-300.18854	-553.0388	3250	-2.3841858e-08	1371.3525	-0.007911581	-1217.9138	3.0284839	0.08490722	0.56	1.0	1997.7077882289886
65	-434.7108	63.209396	-335.14862	-565.2344	3300	9.536743e-09	217.07904	-0.0039958498	-12.264511	2.973952	0.04822563	0.54	1.0	2024.969367980957
66	-440.61975	59.923912	-351.6905	-558.9556	3350	5.5134297e-09	232.17635	0.0014333086	-2.7670898	2.8827164	0.092759036	0.68	1.0	2052.1439669132233
67	-434.9298	59.478977	-344.51587	-559.9237	3400	-4.7683715e-09	224.58267	0.004141269	-20.613174	2.9613743	0.052806236	0.32	5.0	2080.6282823085785
68	-441.55313	57.239166	-330.7056	-566.69666	3450	-9.536743e-09	472.7822	-0.026665602	-13.09552	3.0845966	0.014976766	0.12	47.0	2122.7825639247894
69	-438.03665	64.614235	-338.78094	-572.2391	3500	-2.3841857e-09	286.24112	-0.007787843	-122.004974	2.7055938	0.062563285	0.42	2.0	2150.175456047058
70	-449.43964	64.50703	-348.95935	-575.2019	3550	-1.1920929e-09	320.7084	-0.030135205	-7.072937	2.6829963	0.076358154	0.54	3.0	2178.225852251053
71	-456.8849	58.759506	-344.9128	-570.0371	3600	3.5762786e-09	774.7054	0.0059361625	-76.51929	2.447756	0.019436302	0.26	3.0	2205.8474814891815
72	-445.0163	61.347256	-351.14465	-570.4889	3650	1.6093255e-08	425.25333	-0.021043226	-10.173859	2.7785304	0.13884795	0.5	1.0	2232.8769290447235
73	-442.2618	58.27493	-357.59894	-561.7989	3700	-4.7683715e-09	229.0834	-0.0070458604	-55.500473	2.3389273	0.15305163	0.72	1.0	2260.047031402588
74	-434.48767	57.15713	-345.37567	-552.80286	3750	-7.152557e-09	132.40036	-0.006897745	-29.463326	2.7918403	0.087681144	0.52	1.0	2287.2365641593933
75	-431.89813	66.85923	-329.8581	-564.76465	3800	-4.2915346e-08	245.19992	0.018407993	-41.511353	2.8007498	0.05762725	0.38	1.0	2314.2697627544403
76	-436.66446	62.06674	-341.11218	-561.5774	3850	0.0	253.54701	-0.024247164	11.743637	2.7353637	0.045508027	0.48	2.0	2341.6678750514984
77	-437.2557	59.887848	-338.85724	-571.7143	3900	7.152557e-09	288.35657	-0.003147304	50.173737	2.6490588	0.07161447	0.42	3.0	2369.4086287021637
78	-436.84805	57.93563	-352.06967	-560.78357	3950	-7.152557e-09	202.93129	0.0058607077	47.071564	2.8675823	0.038151857	0.4	5.0	2397.93390417099
79	-450.5553	67.10667	-342.88336	-576.17993	4000	4.7683715e-09	448.81366	-0.0019505406	-19.638458	2.843689	0.048735835	0.26	5.0	2426.1742086410522
80	-438.9188	59.379642	-351.6804	-561.55237	4050	-1.847744e-08	217.20885	-0.009585489	121.73357	3.0616283	0.038974784	0.2	2.0	2453.8556056022644
81	-435.27814	61.551674	-344.49634	-564.432	4100	1.4305114e-08	177.95451	-0.016563218	-11.602463	2.7692614	0.110665515	0.6	2.0	2481.3123757839203
82	-454.75128	64.22635	-334.47867	-568.8106	4150	1.6838312e-08	1159.5262	0.003994495	-267.4588	2.653224	0.058461227	0.4	2.0	2508.715587377548
83	-431.1473	51.38015	-353.2021	-541.3387	4200	-1.2516975e-08	221.84564	-0.040202986	-86.18379	2.7705472	0.028890058	0.42	4.0	2536.754960536957
84	-435.4357	60.98556	-321.97693	-563.7011	4250	2.3841858e-08	524.5859	-0.0010671711	-64.4931	2.6914904	0.058314875	0.42	2.0	2564.2163903713226
85	-449.3029	63.48312	-349.85565	-579.9577	4300	2.3841857e-09	281.74088	-0.025253272	-37.60617	2.8267624	0.16238159	0.64	2.0	2591.458887577057
86	-450.528	58.414345	-359.89447	-579.43335	4350	9.536743e-09	190.58281	0.014269686	-36.7278	2.6497793	0.07116105	0.62	1.0	2618.6912546157837
87	-444.13168	69.77936	-331.296	-575.6489	4400	-9.536743e-09	389.78876	-0.0051240004	-147.5643	2.7382078	0.020144073	0.04	2.0	2646.1680727005005
88	-455.80743	58.98833	-366.75092	-578.5762	4450	7.152557e-09	170.04109	-0.015647195	-39.56726	2.5135279	0.059619416	0.36	1.0	2673.3482460975647
89	-457.20633	66.51974	-361.18893	-595.1533	4500	0.0	150.73553	-0.007449634	-49.996254	2.7356749	0.070949525	0.58	3.0	2701.150153160095
90	-461.62198	65.932396	-352.71613	-604.1929	4550	-1.9073486e-08	318.2377	-0.048226476	-50.46396	2.7979653	-0.05476051	0.44	79.0	2754.505970954895
91	-482.7243	66.00566	-353.69482	-605.62354	4600	0.0	1163.5997	-0.009548486	-132.16357	2.6356924	0.022558365	0.42	4.0	2782.3316485881805
92	-462.12393	61.333385	-366.75485	-588.9201	4650	-8.34465e-09	173.77309	-0.0065408326	-25.090134	3.1560373	0.07177132	0.58	2.0	2809.57687830925
93	-466.30746	66.35856	-363.7921	-596.1105	4700	1.07288365e-08	452.4036	0.00072309974	-59.058197	2.7898405	0.06582694	0.58	2.0	2836.818888425827
94	-459.01337	62.603195	-372.09232	-597.74365	4750	2.2649765e-08	254.55392	-0.008795301	-140.88959	2.574508	0.077284835	0.54	2.0	2864.1799669265747
95	-486.23016	59.47971	-363.4399	-608.1767	4800	-4.7683715e-09	987.4437	0.018794583	-25.638794	2.8148334	0.0240365	0.42	2.0	2891.391990661621
96	-481.26273	69.3492	-344.9816	-589.0361	4850	-2.682209e-08	1773.7593	-0.039886583	-704.9187	2.8801289	-0.010766818	0.22	79.0	2943.6875257492065
97	-447.13016	52.30971	-366.84088	-553.3158	4900	-5.185604e-08	444.4346	-0.041109867	-230.60683	2.5967004	0.08388244	0.6	2.0	2970.8646306991577
98	-431.33548	56.85022	-349.04688	-553.1625	4950	4.7683715e-09	112.49001	0.031104885	-56.597	3.2812524	0.05769575	0.54	1.0	2997.850163459778
99	-445.9078	62.845657	-336.58832	-569.22876	5000	7.152557e-09	352.94696	0.0012963295	-16.125671	2.7260015	0.016462173	0.5	3.0	3025.748433828354
